ASIN,SKU,Name,ThrLink,WSlink,PricingStrategy,BasicHndlingTime,Price,DeliveryPriceTHR10001,DeliveryPriceWS10001,DeliveryPriceTHR90001,DeliveryPriceWS90001,ThresholdForMedianHTCalculation,OrdersCount,UnitsSoldCount,ReturnsCount,AZCount,ItemNumber,StockAviability,FreeShippingWithPlus,estimated_referral_fee
B0B4WHHW1N,THR-TRASH-CAN_20_grey_lid,Krollen Industrial 20 Gallon Gray Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453043,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-gray-round-commercial-trash-can-and-lid/475TCL20GYKT.html,,3,,,,,,10,,,,,,,,
B0B4WH7C5V,THR-TRASH-CAN_20_grey_lid_dolly,Krollen Industrial 20 Gallon Gray Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452762,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-gray-round-commercial-trash-can-with-lid-and-dolly/475TC20GYKIT.html,,3,,,,,,10,,,,,,,,
B0B4WHV561,THR-TRASH-CAN_20_orange,Krollen Industrial 20 Gallon Orange Round Commercial Trash Can,https://www.therestaurantstore.com/items/452383,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-orange-round-commercial-trash-can/475TCRND20OR.html,,3,,,,,,10,,,,,,,,
B0B4WH4617,THR-TRASH-CAN_20_orange_lid,Krollen Industrial 20 Gallon Orange Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/452910,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-orange-round-commercial-trash-can-and-lid/475TCL20ORKT.html,,3,,,,,,10,,,,,,,,
B0B4WJJNGL,THR-TRASH-CAN_20_orange_lid_dolly,Krollen Industrial 20 Gallon Orange Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452812,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-orange-round-commercial-trash-can-with-lid-and-dolly/475TC20ORKIT.html,,3,,,,,,10,,,,,,,,
B0B4WGGRS9,THR-TRASH-CAN_20_purple,Krollen Industrial 20 Gallon Purple Round Commercial Trash Can,https://www.therestaurantstore.com/items/452577,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-purple-round-commercial-trash-can/475TCRND20PL.html,,3,,,,,,10,,,,,,,,
B0B4WGSWMK,THR-TRASH-CAN_20_purple_lid,Krollen Industrial 20 Gallon Purple Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453064,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-purple-round-commercial-trash-can-and-lid/475TCL20PLKT.html,,3,,,,,,10,,,,,,,,
B0B4WH6TKJ,THR-TRASH-CAN_20_purple_lid_dolly,Krollen Industrial 20 Gallon Purple Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452781,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-purple-round-commercial-trash-can-with-lid-and-dolly/475TC20PLKIT.html,,3,,,,,,10,,,,,,,,
B0B4WMMJTS,THR-TRASH-CAN_20_red,Krollen Industrial 20 Gallon Red Round Commercial Trash Can,https://www.therestaurantstore.com/items/452438,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-red-round-commercial-trash-can/475TCRND20RD.html,,3,,,,,,10,,,,,,,,
B0B4WH7FRD,THR-TRASH-CAN_20_red_lid,Krollen Industrial 20 Gallon Red Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/452973,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-red-round-commercial-trash-can-and-lid/475TCL20RDKT.html,,3,,,,,,10,,,,,,,,
B0B4WGQKSR,THR-TRASH-CAN_20_red_lid_dolly,Krollen Industrial 20 Gallon Red Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452705,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-red-round-commercial-trash-can-with-lid-and-dolly/475TC20RDKIT.html,,3,,,,,,10,,,,,,,,
B0B4WGDV9R,THR-TRASH-CAN_20_white,Krollen Industrial 20 Gallon White Round Commercial Trash Can,https://www.therestaurantstore.com/items/452541,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-white-round-ingredient-bin-commercial-trash-can/475TCRND20WH.html,,3,,,,,,10,,,,,,,,
B0B4WL6HZ9,THR-TRASH-CAN_20_white_lid,Krollen Industrial 20 Gallon White Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453016,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-white-round-ingredient-bin-commercial-trash-can-and-lid/475TCL20WHKT.html,,3,,,,,,10,,,,,,,,
B0B4WJ4XHK,THR-TRASH-CAN_20_white_lid_dolly,Krollen Industrial 20 Gallon White Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452837,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-white-round-ingredient-bin-commercial-trash-can-with-lid-and-dolly/475TC20WHKIT.html,,3,,,,,,10,,,,,,,,
B0B4WK865C,THR-TRASH-CAN_20_yellow,Krollen Industrial 20 Gallon Yellow Round Commercial Trash Can,https://www.therestaurantstore.com/items/452309,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-yellow-round-commercial-trash-can/475TCRND20YW.html,,3,,,,,,10,,,,,,,,
B0B4WFX54D,THR-TRASH-CAN_20_yellow_lid,Krollen Industrial 20 Gallon Yellow Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/452907,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-yellow-round-commercial-trash-can-and-lid/475TCL20YWKT.html,,3,,,,,,10,,,,,,,,
B0B4WJW81W,THR-TRASH-CAN_20_yellow_lid_dolly,Krollen Industrial 20 Gallon Yellow Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452774,https://www.webstaurantstore.com/lavex-janitorial-20-gallon-yellow-round-commercial-trash-can-with-lid-and-dolly/475TC20YWKIT.html,,3,,,,,,10,,,,,,,,
B0B4B75T42,THR-TRASH-CAN_23_black,Krollen Industrial 23 Gallon Black Square Commercial Trash Can,https://www.therestaurantstore.com/items/569291,https://www.webstaurantstore.com/wastecan-23-gal-square-bl/475SQ23BK.html,,3,,,,,,10,,,,,,,,
B0B4B9CWV7,THR-TRASH-CAN_23_black_lid,Krollen Industrial 23 Gallon Black Square Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/569347,https://www.webstaurantstore.com/lid-swing-19-23-gal-squar/475SQLD23BK.html,,3,,,,,,10,,,,,,,,
B0B4B7QPW6,THR-TRASH-CAN_23_blue,Krollen Industrial 23 Gallon Blue Square Commercial Trash Can,https://www.therestaurantstore.com/items/569423,https://www.webstaurantstore.com/wastecan-23-gal-square-bl/475SQ23BLREC.html,,3,,,,,,10,,,,,,,,
B0B4B7NRH7,THR-TRASH-CAN_23_blue_lid,Krollen Industrial 23 Gallon Blue Square Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/569431,https://www.webstaurantstore.com/lid-swing-19-23-gal-squar/475SQLD23BL.html,,3,,,,,,10,,,,,,,,
B0B4B7828N,THR-TRASH-CAN_23_green,Krollen Industrial 23 Gallon Green Square Commercial Trash Can,https://www.therestaurantstore.com/items/569422,https://www.webstaurantstore.com/wastecan-23-gal-square-gr/475SQ23GNREC.html,,3,,,,,,10,,,,,,,,
B0B4B6DKCM,THR-TRASH-CAN_23_grey,Krollen Industrial 23 Gallon Grey Square Commercial Trash Can,https://www.therestaurantstore.com/items/535259,https://www.webstaurantstore.com/wastecan-23-gal-square-gy/475SQ23GY.html,,3,,,,,,10,,,,,,,,
B0B4B7VLM3,THR-TRASH-CAN_23_grey_lid,Krollen Industrial 23 Gallon Grey Square Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/569366,https://www.webstaurantstore.com/lid-swing-19-23-gal-squar/475SQLD23GY.html,,3,,,,,,10,,,,,,,,
B0B4WJGKVD,THR-TRASH-CAN_32_black,Krollen Industrial 32 Gallon Black Round Commercial Trash Can,https://www.therestaurantstore.com/items/452252,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-black-round-commercial-trash-can/475TCRND32BK.html,,3,,,,,,10,,,,,,,,
B0B4WHTKJ7,THR-TRASH-CAN_32_black_lid,Krollen Industrial 32 Gallon Black Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453124,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-black-round-commercial-trash-can-and-lid/475TCL32BKKT.html,,3,,,,,,10,,,,,,,,
B0B4WH4D93,THR-TRASH-CAN_32_black_lid_dolly,Krollen Industrial 32 Gallon Black Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452771,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-black-round-commercial-trash-can-with-lid-and-dolly/475TC32BKKIT.html,,3,,,,,,10,,,,,,,,
B0B4WHDZGB,THR-TRASH-CAN_32_blue,Krollen Industrial 32 Gallon Blue Round Commercial Trash Can,https://www.therestaurantstore.com/items/451835,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-blue-round-commercial-trash-can/475TCRND32BL.html,,3,,,,,,10,,,,,,,,
B0B4WFC63R,THR-TRASH-CAN_32_blue_lid,Krollen Industrial 32 Gallon Blue Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453079,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-blue-round-commercial-trash-can-and-lid/475TCL32BLKT.html,,3,,,,,,10,,,,,,,,
B0B4WGTRW7,THR-TRASH-CAN_32_blue_lid_dolly,Krollen Industrial 32 Gallon Blue Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452624,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-blue-round-commercial-trash-can-with-lid-and-dolly/475TC32BLKIT.html,,3,,,,,,10,,,,,,,,
B0B4WH3Z48,THR-TRASH-CAN_32_brown,Krollen Industrial 32 Gallon Brown Round Commercial Trash Can,https://www.therestaurantstore.com/items/452293,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-brown-round-commercial-trash-can/475TCRND32BR.html,,3,,,,,,10,,,,,,,,
B0B4WHY7KQ,THR-TRASH-CAN_32_brown_lid,Krollen Industrial 32 Gallon Brown Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/452893,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-brown-round-commercial-trash-can-and-lid/475TCL32BRKT.html,,3,,,,,,10,,,,,,,,
B0B4WFRDLT,THR-TRASH-CAN_32_brown_lid_dolly,Krollen Industrial 32 Gallon Brown Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452625,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-brown-round-commercial-trash-can-with-lid-and-dolly/475TC32BRKIT.html,,3,,,,,,10,,,,,,,,
B0B4WGKTQD,THR-TRASH-CAN_32_green,Krollen Industrial 32 Gallon Green Round Commercial Trash Can,https://www.therestaurantstore.com/items/452279,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-green-round-commercial-trash-can/475TCRND32GN.html,,3,,,,,,10,,,,,,,,
B0B4WG1R5R,THR-TRASH-CAN_32_green_lid,Krollen Industrial 32 Gallon Green Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/452940,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-green-round-commercial-trash-can-and-lid/475TCL32GNKT.html,,3,,,,,,10,,,,,,,,
B0B4WHN49L,THR-TRASH-CAN_32_green_lid_dolly,Krollen Industrial 32 Gallon Green Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452803,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-green-round-commercial-trash-can-with-lid-and-dolly/475TC32GNKIT.html,,3,,,,,,10,,,,,,,,
B0B4WG8NH1,THR-TRASH-CAN_32_grey,Krollen Industrial 32 Gallon Gray Round Commercial Trash Can,https://www.therestaurantstore.com/items/451868,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-gray-round-commercial-trash-can/475TCRND32GY.html,,3,,,,,,10,,,,,,,,
B0B4WGL3TY,THR-TRASH-CAN_32_grey_lid,Krollen Industrial 32 Gallon Gray Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453019,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-gray-round-commercial-trash-can-and-lid/475TCL32GYKT.html,,3,,,,,,10,,,,,,,,
B0B4WHWBBJ,THR-TRASH-CAN_32_grey_lid_dolly,Krollen Industrial 32 Gallon Gray Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452802,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-gray-round-commercial-trash-can-with-lid-and-dolly/475TC32GYKIT.html,,3,,,,,,10,,,,,,,,
